docking_cost_a,docking_cost_b,roundtrip_start,roundtrip_return,passengers,itin_fare,itin_fare_avg,avg_occupancy_rate,occupancy_avg,roundtrip_count,ticket_revenue,baggage_revenue,total_revenue,distance,fomc&dio,roundtrip_start_airport_type,roundtrip_return_airport_type,docking_cost_total,delay_dep,early_arr,maintance,profit
10000,10000,IAH,PHX,540,145592,269.6148148,0.65439433,130.878866,776,27382619.82,3554670,30937289.82,1009,9262.62,large_airport,large_airport,15520000,842025,98775,16470062.62,14467227.2
10000,10000,CMH,LGA,708,187675,265.0776836,0.645829959,129.1659917,897,30712402.63,4055166.31,34767568.94,479,4397.22,large_airport,large_airport,17940000,2053575,345975,20343947.22,14423621.72
10000,10000,CMH,EWR,314,127835,407.1178344,0.651681311,130.3362621,421,22339193.26,1920504.822,24259698.08,463,4250.34,large_airport,large_airport,8420000,1339050,124875,9888175.34,14371522.74
10000,10000,CLT,ORD,789,179377,227.347275,0.648325547,129.6651094,1166,34372524.83,5291633.115,39664157.95,599,5498.82,large_airport,large_airport,23320000,1949175,254625,25529298.82,14134859.13
10000,10000,ATL,PHX,1198,290079,242.1360601,0.654896542,130.9793083,925,29336202.65,4240455.108,33576657.76,1587,14568.66,large_airport,large_airport,18500000,639075,313875,19467518.66,14109139.1
10000,10000,ORD,SFO,2499,573984,229.6854742,0.65342657,130.6853139,1292,38781341.64,5909589.896,44690931.54,1846,16946.28,large_airport,large_airport,25840000,4467375,357525,30681846.28,14009085.26
10000,10000,ATL,ORF,288,81449,282.8090278,0.65455157,130.9103139,669,24768131.84,3065265,27833396.84,516,4736.88,large_airport,large_airport,13380000,313425,150300,13848461.88,13984934.96
10000,10000,ATL,SAN,819,270200,329.9145299,0.661428571,132.2857143,511,22301562.39,2365930,24667492.39,1892,17368.56,large_airport,large_airport,10220000,286275,193800,10717443.56,13950048.83
10000,10000,DFW,OKC,118,32403,274.6016949,0.646337748,129.2675497,755,26800301.62,3415895,30216196.62,175,1606.5,large_airport,large_airport,15100000,1104000,66975,16272581.5,13943615.12
10000,10000,DFW,EWR,1374,395129,287.5756914,0.64446045,128.89209,737,27317812.92,3324771.462,30642584.38,1372,12594.96,large_airport,large_airport,14740000,1637925,335700,16726219.96,13916364.42
10000,10000,DTW,LAX,1370,430670,314.3576642,0.64062709,128.1254181,598,24085769.88,2681665,26767434.88,1979,18167.22,large_airport,large_airport,11960000,668100,280875,12927142.22,13840292.66
10000,5000,IAH,XNA,133,48986,368.3157895,0.661592658,132.3185316,380,18519301.68,1759836.47,20279138.15,438,4020.84,large_airport,medium_airport,5700000,679650,84825,6468495.84,13810642.31
10000,10000,DFW,MSP,1134,284441,250.829806,0.651258789,130.2517577,913,29828644.11,4162194.918,33990839.03,852,7821.36,large_airport,large_airport,18260000,1590900,342675,20201396.36,13789442.67
10000,5000,DFW,LRD,176,75524,429.1136364,0.644872611,128.9745223,314,17378244.05,1417430,18795674.05,396,3635.28,large_airport,medium_airport,4710000,308250,54900,5076785.28,13718888.77
5000,10000,KOA,LAX,482,155807,323.2510373,0.6425,128.5,464,19273519.85,2086840,21360359.85,2504,22986.72,medium_airport,large_airport,6960000,374400,312750,7670136.72,13690223.13
10000,10000,ABQ,ORD,101,49423,489.3366337,0.660966643,132.1933286,293,18953302.25,1355642.584,20308944.83,1118,10263.24,large_airport,large_airport,5860000,750075,109575,6729913.24,13579031.59
10000,10000,JFK,SAN,792,279271,352.614899,0.642167531,128.4335062,485,21964470.39,2180158.768,24144629.16,2446,22454.28,large_airport,large_airport,9700000,517425,359700,10599579.28,13545049.88
